match,bowlingTeam,bowlerName,overs,maiden,runsConceded,wickets,economy,dotBalls,s4_Conceded,s6_Conceded,wides,noBalls,Match_Id
India Vs South Africa,South Africa,Marco Jansen,40,0,49,1,1225,4,5,2,1,1,
India Vs South Africa,South Africa,Keshav Maharaj,30,0,23,2,766,10,3,1,0,0,
India Vs South Africa,South Africa,Kagiso Rabada,40,0,36,1,90,8,2,2,2,0,
India Vs South Africa,South Africa,Aiden Markram,20,0,16,0,80,1,0,1,0,0,
India Vs South Africa,South Africa,Anrich Nortje,40,0,26,2,65,7,2,0,2,0,
India Vs South Africa,South Africa,Tabraiz Shamsi,30,0,26,0,866,4,1,1,1,0,
India Vs South Africa,India,Arshdeep Singh,40,0,20,2,50,12,2,0,0,0,
India Vs South Africa,India,Jasprit Bumrah,40,0,18,2,45,14,2,0,0,0,
India Vs South Africa,India,Axar Patel,40,0,49,1,1225,8,5,3,2,0,
India Vs South Africa,India,Kuldeep Yadav,40,0,45,0,1125,6,3,3,0,0,
India Vs South Africa,India,Hardik Pandya,30,0,20,3,666,9,1,1,1,1,
India Vs South Africa,India,Ravindra Jadeja,10,0,12,0,120,0,0,1,0,0,
India Vs England,England,Reece Topley,30,0,25,1,833,8,3,1,0,0,
India Vs England,England,Jofra Archer,40,0,33,1,825,7,4,0,0,0,
India Vs England,England,Sam Curran,20,0,25,1,125,3,2,2,0,0,
India Vs England,England,Adil Rashid,40,0,25,1,625,9,3,0,0,0,
India Vs England,England,Chris Jordan,30,0,37,3,1233,4,0,4,0,0,
India Vs England,England,Liam Livingstone,40,0,24,0,60,9,1,1,1,0,
India Vs England,India,Arshdeep Singh,20,0,17,0,85,5,3,0,0,0,
India Vs England,India,Jasprit Bumrah,24,0,12,2,45,8,1,0,0,0,
India Vs England,India,Axar Patel,40,0,23,3,575,10,0,1,0,0,
India Vs England,India,Kuldeep Yadav,40,0,33333,3,475,12,2,0,0,0,
India Vs England,India,Ravindra Jadeja,30,0,16,0,533,6,1,0,0,0,
India Vs England,India,Hardik Pandya,10,0,14,0,140,1,1,1,0,0,
Afghanistan Vs South Africa,South Africa,Marco Jansen,30,0,16,3,533,13,2,0,4,0,
Afghanistan Vs South Africa,South Africa,Keshav Maharaj,10,0,6,0,60,3,1,0,0,0,
Afghanistan Vs South Africa,South Africa,Kagiso Rabada,30,1,14,2,466,13,3,0,0,0,
Afghanistan Vs South Africa,South Africa,Anrich Nortje,30,0,7,2,233,14,0,0,1,0,
Afghanistan Vs South Africa,South Africa,Tabraiz Shamsi,15,0,6,3,327,9,1,0,1,0,
Afghanistan Vs South Africa,Afghanistan,Naveen-ul-Haq,30,0,15,0,50,12,2,0,1,0,
Afghanistan Vs South Africa,Afghanistan,Fazalhaq Farooqi,20,0,11,1,55,9,2,0,1,0,
Afghanistan Vs South Africa,Afghanistan,Rashid Khan,10,0,8,0,80,2,1,0,0,0,
Afghanistan Vs South Africa,Afghanistan,Azmatullah Omarzai,15,0,18,0,981,6,2,1,0,1,
Afghanistan Vs South Africa,Afghanistan,Gulbadin Naib,10,0,8,0,80,2,1,0,0,0,
Afghanistan Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,40,0,36,0,90,9,1,2,1,0,
Afghanistan Vs Bangladesh,Bangladesh,Taskin Ahmed,40,1,12,1,30,19,0,1,0,0,
Afghanistan Vs Bangladesh,Bangladesh,Shakib Al Hasan,40,0,19,0,475,11,0,1,0,0,
Afghanistan Vs Bangladesh,Bangladesh,Mustafizur Rahman,40,0,17,1,425,14,2,0,0,0,
Afghanistan Vs Bangladesh,Bangladesh,Rishad Hossain,40,0,26,3,65,13,3,0,1,0,
Afghanistan Vs Bangladesh,Afghanistan,Naveen-ul-Haq,35,0,26,4,678,12,3,1,0,0,
Afghanistan Vs Bangladesh,Afghanistan,Fazalhaq Farooqi,20,0,15,1,75,3,1,0,2,0,
Afghanistan Vs Bangladesh,Afghanistan,Mohammad Nabi,20,0,15,0,75,5,2,0,0,0,
Afghanistan Vs Bangladesh,Afghanistan,Rashid Khan,40,0,23,4,575,9,2,0,1,0,
Afghanistan Vs Bangladesh,Afghanistan,Noor Ahmad,40,0,13,0,325,18,2,0,0,0,
Afghanistan Vs Bangladesh,Afghanistan,Gulbadin Naib,20,0,5,1,25,7,0,0,0,0,
India Vs Australia,Australia,Mitchell Starc,40,0,45,2,1125,12,4,4,1,0,
India Vs Australia,Australia,Josh Hazlewood,40,0,14,1,35,13,1,0,0,0,
India Vs Australia,Australia,Pat Cummins,40,0,48,0,120,5,4,3,0,0,
India Vs Australia,Australia,Adam Zampa,40,0,41,0,1025,2,1,3,0,0,
India Vs Australia,Australia,Marcus Stoinis,40,0,56,2,140,6,4,5,1,0,
India Vs Australia,India,Arshdeep Singh,40,0,37,3,925,12,4,2,2,0,
India Vs Australia,India,Jasprit Bumrah,40,0,29,1,725,11,3,1,0,0,
India Vs Australia,India,Axar Patel,30,0,21,1,70,9,2,1,0,0,
India Vs Australia,India,Hardik Pandya,40,0,47,0,1175,8,4,3,1,0,T20I # 2721
India Vs Australia,India,Kuldeep Yadav,40,0,24,2,60,9,1,1,0,0,T20I # 2721
India Vs Australia,India,Ravindra Jadeja,10,0,17,0,170,0,2,1,0,0,T20I # 2721
West Indies Vs South Africa,South Africa,Marco Jansen,20,0,17,1,85,6,2,0,4,0,T20I # 2720
West Indies Vs South Africa,South Africa,Aiden Markram,40,0,28,1,70,11,1,2,2,0,T20I # 2720
West Indies Vs South Africa,South Africa,Keshav Maharaj,40,0,24,1,60,10,1,1,0,0,T20I # 2720
West Indies Vs South Africa,South Africa,Anrich Nortje,40,0,26,0,65,13,1,2,2,0,T20I # 2720
West Indies Vs South Africa,South Africa,Tabraiz Shamsi,40,0,27,3,675,11,3,1,0,0,T20I # 2720
West Indies Vs South Africa,South Africa,Kagiso Rabada,20,0,11,1,55,7,0,1,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Akeal Hosein,30,0,31,0,1033,6,6,0,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Andre Russell,40,0,19,2,475,13,2,0,1,0,T20I # 2720
West Indies Vs South Africa,West Indies,Alzarri Joseph,40,0,25,2,625,9,1,0,1,0,T20I # 2720
West Indies Vs South Africa,West Indies,Gudakesh Motie,10,0,20,0,200,0,3,1,0,0,T20I # 2720
West Indies Vs South Africa,West Indies,Obed McCoy,11,0,15,0,1285,3,1,1,3,0,T20I # 2720
West Indies Vs South Africa,West Indies,Roston Chase,30,0,12,3,40,10,1,0,0,0,T20I # 2720
United States of America Vs England,England,Reece Topley,30,0,29,1,966,8,2,2,0,0,T20I # 2719
United States of America Vs England,England,Jofra Archer,30,0,16,0,533,12,1,1,0,0,T20I # 2719
United States of America Vs England,England,Sam Curran,20,0,23,2,115,4,3,1,0,0,T20I # 2719
United States of America Vs England,England,Adil Rashid,40,0,13,2,325,13,0,0,1,0,T20I # 2719
United States of America Vs England,England,Liam Livingstone,40,0,24,1,60,10,1,1,0,0,T20I # 2719
United States of America Vs England,England,Chris Jordan,25,0,10,4,352,8,0,0,0,0,T20I # 2719
United States of America Vs England,United States of America,Saurabh Netravalkar,20,0,21,0,105,5,1,2,0,0,T20I # 2719
United States of America Vs England,United States of America,Harmeet Singh,20,0,36,0,180,3,0,5,2,0,T20I # 2719
United States of America Vs England,United States of America,Nosthush Kenjige,20,0,19,0,95,3,3,0,0,0,T20I # 2719
United States of America Vs England,United States of America,Ali Khan,20,0,26,0,130,2,2,0,2,0,T20I # 2719
United States of America Vs England,United States of America,Shadley van Schalkwyk,14,0,15,0,90,2,2,0,0,1,T20I # 2719
Afghanistan Vs Australia,Australia,Ashton Agar,40,1,17,0,425,444444,1,0,0,0,T20I # 2717
Afghanistan Vs Australia,Australia,Josh Hazlewood,40,0,39,0,975,10,4,2,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Pat Cummins,40,0,28,3,70,13,3,1,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Adam Zampa,40,0,28,2,70,9,2,1,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Glenn Maxwell,20,0,12,0,60,5,1,0,1,0,T20I # 2717
Afghanistan Vs Australia,Australia,Marcus Stoinis,20,0,19,1,95,4,1,1,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Naveen-ul-Haq,40,0,20,3,50,12,2,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Fazalhaq Farooqi,30,0,21,0,70,8,2,0,0,1,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Azmatullah Omarzai,12,0,10,1,75,5,2,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Mohammad Nabi,10,0,1,1,10,5,0,0,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Nangeyalia Kharote,10,0,13,0,130,1,1,1,0,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Rashid Khan,40,0,23,1,575,11,1,1,2,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Noor Ahmad,10,0,11,0,110,3,1,0,1,0,T20I # 2717
Afghanistan Vs Australia,Afghanistan,Gulbadin Naib,40,0,20,4,50,13,1,1,0,0,T20I # 2717
India Vs Bangladesh,Bangladesh,Mahedi Hasan,40,0,28,0,70,9,2,1,0,0,T20I # 2716
India Vs Bangladesh,Bangladesh,Shakib Al Hasan,30,0,37,1,122,5,2,3,1,0,T20I # 2716
India Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,40,0,32,2,80,11,1,3,1,0,T20I # 2716
India Vs Bangladesh,Bangladesh,Mustafizur Rahman,40,0,48,0,120,6,5,2,1,1,T20I # 2716
India Vs Bangladesh,Bangladesh,Rishad Hossain,30,0,43,2,123,4,2,4,2,0,T20I # 2716
India Vs Bangladesh,Bangladesh,Mahmudullah,20,0,8,0,40,5,0,0,1,0,T20I # 2716
India Vs Bangladesh,India,Arshdeep Singh,40,0,30,2,75,12,4,1,1,0,T20I # 2716
India Vs Bangladesh,India,Jasprit Bumrah,40,0,13,2,325,15,1,0,0,0,T20I # 2716
India Vs Bangladesh,India,Axar Patel,20,0,26,0,130,2,2,2,0,0,T20I # 2716
India Vs Bangladesh,India,Hardik Pandya,30,0,32,1,133,6,1,3,2,0,T20I # 2716
India Vs Bangladesh,India,Ravindra Jadeja,30,0,24,0,80,5,2,1,0,0,T20I # 2716
India Vs Bangladesh,India,Kuldeep Yadav,40,0,19,3,275,11,0,1,0,0,T20I # 2716
United States of America Vs West Indies,West Indies,Akeal Hosein,30,0,13,0,433,8,1,0,0,0,T20I # 2713
United States of America Vs West Indies,West Indies,Andre Russell,35,0,31,3,500,13,3,1,3,0,T20I # 2713
United States of America Vs West Indies,West Indies,Obed McCoy,20,0,20,0,100,4,3,0,1,0,T20I # 2713
United States of America Vs West Indies,West Indies,Alzarri Joseph,40,0,31,2,566,9,1,2,1,1,T20I # 2713
United States of America Vs West Indies,West Indies,Gudakesh Motie,30,0,14,1,466,9,1,0,0,0,T20I # 2713
United States of America Vs West Indies,West Indies,Roston Chase,40,0,19,3,475,9,1,0,1,0,T20I # 2713
United States of America Vs West Indies,United States of America,Saurabh Netravalkar,25,0,31,0,1094,7,2,3,0,0,T20I # 2713
United States of America Vs West Indies,United States of America,Nosthush Kenjige,10,0,11,0,110,1,0,1,0,0,T20I # 2713
United States of America Vs West Indies,United States of America,Ali Khan,20,0,18,0,90,5,1,1,2,0,T20I # 2713
United States of America Vs West Indies,United States of America,Harmeet Singh,20,0,18,1,90,4,1,1,0,0,T20I # 2713
United States of America Vs West Indies,United States of America,Shadley van Schalkwyk,20,0,29,0,145,3,3,2,1,0,T20I # 2713
United States of America Vs West Indies,United States of America,Milind Kumar,10,0,22,0,220,1,0,3,1,0,T20I # 2713
South Africa Vs England,England,Reece Topley,40,0,23,0,575,8,1,0,2,0,T20I # 2712
South Africa Vs England,England,Moeen Ali,30,0,25,1,833,6,2,1,0,0,T20I # 2712
South Africa Vs England,England,Jofra Archer,40,0,40,3,100,10,3,3,1,0,T20I # 2712
South Africa Vs England,England,Sam Curran,30,0,29,0,966,7,1,2,1,0,T20I # 2712
South Africa Vs England,England,Adil Rashid,40,0,20,1,50,9,1,0,0,0,T20I # 2712
South Africa Vs England,England,Mark Wood,20,0,22,0,110,4,4,0,2,0,T20I # 2712
South Africa Vs England,South Africa,Marco Jansen,40,0,31,0,775,9,2,1,0,1,T20I # 2712
South Africa Vs England,South Africa,Kagiso Rabada,40,0,32,2,80,9,3,1,2,0,T20I # 2712
South Africa Vs England,South Africa,Keshav Maharaj,40,0,25,2,625,9,2,0,0,0,T20I # 2712
South Africa Vs England,South Africa,Ottneil Baartman,30,0,27,1,90,7,3,1,0,0,T20I # 2712
South Africa Vs England,South Africa,Anrich Nortje,40,0,35,1,875,4,4,0,1,0,T20I # 2712
South Africa Vs England,South Africa,Aiden Markram,10,0,4,0,40,2,0,0,0,0,T20I # 2712
Bangladesh Vs Australia,Australia,Mitchell Starc,40,0,21,1,525,15,3,0,2,0,T20I # 2711
Bangladesh Vs Australia,Australia,Josh Hazlewood,40,1,25,0,544,12,1,1,1,0,T20I # 2711
Bangladesh Vs Australia,Australia,Pat Cummins,40,0,29,3,665,8,1,0,3,0,T20I # 2711
Bangladesh Vs Australia,Australia,Adam Zampa,40,0,24,2,60,10,3,0,0,0,T20I # 2711
Bangladesh Vs Australia,Australia,Marcus Stoinis,20,0,33333,1,120,3,1,2,1,0,T20I # 2711
Bangladesh Vs Australia,Australia,Glenn Maxwell,20,0,14,1,70,3,1,0,0,0,T20I # 2711
Bangladesh Vs Australia,Bangladesh,Mahedi Hasan,40,0,22,0,55,15,1,2,0,0,T20I # 2711
Bangladesh Vs Australia,Bangladesh,Tanzim Hasan Sakib,10,0,9,0,90,2,1,0,0,0,T20I # 2711
Bangladesh Vs Australia,Bangladesh,Taskin Ahmed,12,0,22,0,165,2,2,2,0,0,T20I # 2711
Bangladesh Vs Australia,Bangladesh,Mustafizur Rahman,20,0,23,0,115,3,3,1,0,0,T20I # 2711
Bangladesh Vs Australia,Bangladesh,Rishad Hossain,30,0,23,2,766,7,2,1,0,0,T20I # 2711
India Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,40,0,33,3,825,12,4,1,2,0,T20I # 2710
India Vs Afghanistan,Afghanistan,Mohammad Nabi,30,0,24,0,80,7,3,0,0,0,T20I # 2710
India Vs Afghanistan,Afghanistan,Naveen-ul-Haq,40,0,40,1,100,9,3,2,3,0,T20I # 2710
India Vs Afghanistan,Afghanistan,Rashid Khan,40,0,26,3,65,13,3,1,0,0,T20I # 2710
India Vs Afghanistan,Afghanistan,Noor Ahmad,30,0,30,0,100,4,1,2,1,0,T20I # 2710
India Vs Afghanistan,Afghanistan,Azmatullah Omarzai,20,0,23,0,115,3,2,1,1,0,T20I # 2710
India Vs Afghanistan,India,Arshdeep Singh,40,0,36,3,90,12,3,2,5,0,T20I # 2710
India Vs Afghanistan,India,Jasprit Bumrah,40,1,7,3,175,20,1,0,0,0,T20I # 2710
India Vs Afghanistan,India,Axar Patel,30,1,15,1,50,11,0,1,0,0,T20I # 2710
India Vs Afghanistan,India,Hardik Pandya,20,0,13,0,65,8,1,1,1,0,T20I # 2710
India Vs Afghanistan,India,Kuldeep Yadav,40,0,32,2,80,11,2,2,1,1,T20I # 2710
India Vs Afghanistan,India,Ravindra Jadeja,30,0,20,1,666,4,0,1,0,0,T20I # 2710
West Indies Vs England,England,Reece Topley,30,0,26,0,866,8,2,1,4,0,T20I # 2709
West Indies Vs England,England,Mark Wood,30,0,36,0,120,7,3,2,4,0,T20I # 2709
West Indies Vs England,England,Jofra Archer,40,0,34,1,85,12,5,1,1,0,T20I # 2709
West Indies Vs England,England,Sam Curran,30,0,25,0,833,9,3,1,0,0,T20I # 2709
West Indies Vs England,England,Adil Rashid,40,0,21,1,525,10,0,1,1,0,T20I # 2709
West Indies Vs England,England,Moeen Ali,20,0,15,1,75,3,0,1,0,0,T20I # 2709
West Indies Vs England,England,Liam Livingstone,10,0,20,1,200,2,0,3,0,0,T20I # 2709
West Indies Vs England,West Indies,Akeal Hosein,40,0,35,0,875,9,4,1,1,0,T20I # 2709
West Indies Vs England,West Indies,Romario Shepherd,20,0,41,0,205,2,5,3,1,0,T20I # 2709
West Indies Vs England,West Indies,Andre Russell,20,0,21,1,105,2,0,1,2,0,T20I # 2709
West Indies Vs England,West Indies,Alzarri Joseph,23,0,32,0,128,2,2,2,0,0,T20I # 2709
West Indies Vs England,West Indies,Gudakesh Motie,40,0,32,0,80,8,4,0,0,0,T20I # 2709
West Indies Vs England,West Indies,Roston Chase,30,0,19,1,633,6,1,0,2,0,T20I # 2709
South Africa Vs United States of America,United States of America,Saurabh Netravalkar,40,0,21,2,525,12,2,0,0,0,T20I # 2708
South Africa Vs United States of America,United States of America,Ali Khan,40,0,45,0,1125,7,1,4,2,0,T20I # 2708
South Africa Vs United States of America,United States of America,Jasdeep Singh,20,0,36,0,180,2,2,3,2,1,T20I # 2708
South Africa Vs United States of America,United States of America,Nosthush Kenjige,30,0,29,0,966,2,2,1,0,0,T20I # 2708
South Africa Vs United States of America,United States of America,Harmeet Singh,40,0,24,2,60,8,2,0,0,1,T20I # 2708
South Africa Vs United States of America,United States of America,Steven Taylor,20,0,21,0,105,3,2,1,0,0,T20I # 2708
South Africa Vs United States of America,United States of America,Corey Anderson,10,0,17,0,170,0,2,1,0,0,T20I # 2708
South Africa Vs United States of America,South Africa,Marco Jansen,30,0,32,0,1066,9,3,2,2,0,T20I # 2708
South Africa Vs United States of America,South Africa,Aiden Markram,10,0,13,0,130,2,1,1,0,0,T20I # 2708
South Africa Vs United States of America,South Africa,Kagiso Rabada,40,0,18,3,45,14,2,0,1,1,T20I # 2708
South Africa Vs United States of America,South Africa,Keshav Maharaj,40,0,24,1,60,7,0,1,0,0,T20I # 2708
South Africa Vs United States of America,South Africa,Anrich Nortje,40,0,37,1,925,10,2,3,1,0,T20I # 2708
